Unnamed: 0,product_name,selling_price,actual_price,average_rating,rating_and_rivew,ram,SSD,processor,operating_system,exchange_offer,display_size,battery_life
766,Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) IdeaPad 3 15ITL6 Th...,"₹54,999","₹81,090",4.3,765 Ratings & 71 Reviews,8 GB DDR4 RAM,512 GB SSD,Intel Core i5 Processor (11th Gen),64 bit Windows 10 Operating System,Bank Offer,39.62 cm (15.6 Inch) Display,8 hours
767,HP Pavilion Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home) 15-eh1101AU Thin and Light Lap...,"₹54,999","₹70,419",4.5,130 Ratings & 20 Reviews,8 GB DDR4 RAM,512 GB SSD,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 Operating System,Bank Offer,39.62 cm (15.6 Inch) Display,4 hours
768,Lenovo Ideapad 3 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15IIL05 Laptop,"₹54,999","₹69,000",4.0,942 Ratings & 101 Reviews,8 GB DDR4 RAM,,Intel Core i5 Processor (10th Gen),64 bit Windows 10 Operating System,Bank Offer,39.62 cm (15.6 inch) Display,5 hours
769,Lenovo Ideapad Slim 3i Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15IIL05 Thin and Light Lap...,"₹54,999","₹73,000",4.2,516 Ratings & 55 Reviews,8 GB DDR4 RAM,512 GB SSD,Intel Core i5 Processor (10th Gen),64 bit Windows 10 Operating System,Bank Offer,39.62 cm (15.6 inch) Display,7 hours
770,DELL Inspiron 3000 Core i5 10th Gen - (4 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 3593 Laptop,"₹54,998","₹57,217",4.5,58 Ratings & 2 Reviews,4 GB DDR4 RAM,1 TB HDD|256 GB SSD,Intel Core i5 Processor (10th Gen),64 bit Windows 10 Operating System,Bank Offer,39.62 cm (15.6 inch) Display,4 hours
771,ASUS Vivobook 15 Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) X515EP-BQ...,"₹54,990","₹78,990",4.3,43 Ratings & 5 Reviews,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,Intel Core i5 Processor (11th Gen),64 bit Windows 10 Operating System,Bank Offer,39.62 cm (15.6 inch) Display,12 hours
772,HP Pavilion Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home) 14-ec0035AU Thin and Light Lap...,"₹54,990","₹67,931",4.4,433 Ratings & 59 Reviews,8 GB DDR4 RAM,512 GB SSD,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",35.56 cm (14 inch) Display,4 hours
773,HP Pavilion Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) 14-EC1003AU Thin and Light Lap...,"₹54,990","₹64,342",4.6,5 Ratings & 3 Reviews,8 GB DDR4 RAM,512 GB SSD,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 Operating System,Bank Offer,35.56 cm (14 Inch) Display,7 hours
774,Lenovo ThinkBook 13s Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) TB13s ITL Gen 2 Thin and Lig...,"₹54,990","₹1,12,608",4.2,79 Ratings & 9 Reviews,8 GB DDR4 RAM,512 GB SSD,Intel Core i5 Processor (11th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",33.02 cm (13 inch) Display,8 hours
775,acer Aspire 7 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce ...,"₹54,990","₹89,999",4.5,"3,561 Ratings & 460 Reviews",8 GB DDR4 RAM,512 GB SSD,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display,8 hours
